Episode = 0, Score = -273.38356988122905, Avg_Score = -273.38356988122905
Episode = 1, Score = -448.1608995668042, Avg_Score = -360.7722347240166
Episode = 2, Score = -92.59191658695408, Avg_Score = -271.37879534499575
Episode = 3, Score = -49.75242678009394, Avg_Score = -215.9722032037703
Episode = 4, Score = -122.13171489493374, Avg_Score = -197.204105542003
Episode = 5, Score = -317.2030023136105, Avg_Score = -217.20392167060425
Episode = 6, Score = -229.48396510548574, Avg_Score = -218.95821358987305
Episode = 7, Score = -54.251008573956994, Avg_Score = -198.36981296288354
Episode = 8, Score = -252.30636502346096, Avg_Score = -204.3627631918366
Episode = 9, Score = -106.38959117163313, Avg_Score = -194.56544598981625
Episode = 10, Score = -229.30102699759001, Avg_Score = -197.72322608143205
Episode = 11, Score = -159.80786833067555, Avg_Score = -194.56361293553564
Episode = 12, Score = -200.2448639065159, Avg_Score = -195.00063224099569
Episode = 13, Score = -279.4429383105757, Avg_Score = -201.03222553167998
Episode = 14, Score = -142.66180021047543, Avg_Score = -197.14086384359967
Episode = 15, Score = -66.60928030546413, Avg_Score = -188.9826398724662
Episode = 16, Score = -114.8506161028013, Avg_Score = -184.62193259189766
Episode = 17, Score = -40.52898524195162, Avg_Score = -176.616768850234
Episode = 18, Score = -126.33877509983046, Avg_Score = -173.97055865284432
Episode = 19, Score = -164.30504893015717, Avg_Score = -173.48728316670997
Episode = 20, Score = -107.08414480831327, Avg_Score = -170.32522895916728
Episode = 21, Score = -194.25115470930785, Avg_Score = -171.41277103871911
Episode = 22, Score = -97.69498770741251, Avg_Score = -168.2076500243145
Episode = 23, Score = -41.0127617469417, Avg_Score = -162.90786301275728
Episode = 24, Score = -117.55350276958663, Avg_Score = -161.09368860303044
Episode = 25, Score = -112.3641877848791, Avg_Score = -159.21947703310155
Episode = 26, Score = 159.09797661365002, Avg_Score = -147.42994171285147
Episode = 27, Score = -347.69535495143793, Avg_Score = -154.58227789994385
Episode = 28, Score = -243.3063372940321, Avg_Score = -157.64172822387792
Episode = 29, Score = -138.9038324709756, Avg_Score = -157.01713169878118
Episode = 30, Score = -310.39033794305124, Avg_Score = -161.96465448085442
Episode = 31, Score = -342.1244313940483, Avg_Score = -167.59464750939173
Episode = 32, Score = -324.53423585750306, Avg_Score = -172.35039261084967
Episode = 33, Score = -81.03404814341295, Avg_Score = -169.66461777357213
Episode = 35, Score = -379.38418121737664, Avg_Score = -175.65660530053796
Episode = 36, Score = -88.12113720544079, Avg_Score = -173.2250645201186
Episode = 40, Score = -51.735395303336546, Avg_Score = -169.94155994669205
Episode = 41, Score = -330.79560680671534, Avg_Score = -174.17456117985054
Episode = 42, Score = -57.53104934856462, Avg_Score = -171.18370190212528
Episode = 43, Score = -151.140188221108, Avg_Score = -170.68261406009984
Episode = 44, Score = -208.97165795635115, Avg_Score = -171.6164931795206
Episode = 45, Score = -132.5586469558071, Avg_Score = -170.68654445990836
Episode = 46, Score = -68.77166375071725, Avg_Score = -168.31643095504347
Episode = 47, Score = -175.708567716252, Avg_Score = -168.48443406325276
Episode = 48, Score = -51.22763604870762, Avg_Score = -165.8787274407073
Episode = 49, Score = -145.54338507701252, Avg_Score = -165.43665478062698
Episode = 51, Score = -205.66815281995727, Avg_Score = -166.29264410061273
Episode = 52, Score = -334.0822558011768, Avg_Score = -169.78826101104116
Episode = 53, Score = -64.71285606105363, Avg_Score = -167.64386499165366
Episode = 55, Score = -297.2388291922505, Avg_Score = -170.23576427566562
Episode = 56, Score = -47.3675340454288, Avg_Score = -167.826583290759
Episode = 57, Score = 64.18968000068405, Avg_Score = -163.36473207361587
Episode = 58, Score = -124.0415312277986, Avg_Score = -162.62278488784574
Episode = 59, Score = -37.39205278217153, Avg_Score = -160.30369725625917
Episode = 60, Score = -162.62569094843172, Avg_Score = -160.34591532338956
Episode = 61, Score = -15.069777346312591, Avg_Score = -157.75169857379888
Episode = 62, Score = 87.70705968894848, Avg_Score = -153.4454045691893
Episode = 63, Score = 163.98771502114232, Avg_Score = -147.97241974866634
Episode = 64, Score = -113.2878287046814, Avg_Score = -147.384545324192
Episode = 65, Score = 16.56421482523787, Avg_Score = -144.65206598836818
Episode = 66, Score = -344.28144349780547, Avg_Score = -147.92467873442453
Episode = 67, Score = -138.04642243836486, Avg_Score = -147.76535201997197
Episode = 68, Score = 107.17932352759169, Avg_Score = -143.71861113826463
Episode = 69, Score = 162.81152228890656, Avg_Score = -138.92907780346505
Episode = 70, Score = -548.5926546100075, Avg_Score = -145.23159436971955
Episode = 71, Score = -51.29040609112654, Avg_Score = -143.8082430321651
Episode = 72, Score = -136.71221469116585, Avg_Score = -143.70233216140392
Episode = 73, Score = -79.48738227543924, Avg_Score = -142.75799466308092
Episode = 74, Score = -65.97886247752706, Avg_Score = -141.64525361691346
Episode = 75, Score = -35.349206797168364, Avg_Score = -140.12673866234567
Episode = 76, Score = 26.462975030311526, Avg_Score = -137.78040466667446
Episode = 77, Score = -140.74378450302922, Avg_Score = -137.82156271995714
Episode = 78, Score = -73.31669903005573, Avg_Score = -136.9379344502325
Episode = 79, Score = 278.02644700797293, Avg_Score = -131.33030767377025
Episode = 80, Score = -40.715318601979014, Avg_Score = -130.12210781947968
