Episode = 1, Score = -94.16555693568539, Avg_Score = -97.68676190122639
Episode = 2, Score = -294.01519779910586, Avg_Score = -163.12957386718622
Episode = 3, Score = -527.7917830319466, Avg_Score = -254.29512615837632
Episode = 4, Score = -211.95795879651087, Avg_Score = -245.82769268600322
Episode = 5, Score = -113.97464340697665, Avg_Score = -223.85218447283214
Episode = 6, Score = -148.3868258446251, Avg_Score = -213.07141895451682
Episode = 7, Score = -185.4271310176655, Avg_Score = -209.6158829624104
Episode = 10, Score = -136.33720937980488, Avg_Score = -201.47380811989868
Episode = 11, Score = -224.33558151477826, Avg_Score = -203.75998545938666
Episode = 12, Score = -324.3183665761825, Avg_Score = -214.71983828818628
Episode = 13, Score = -155.51308120443642, Avg_Score = -209.78594186454043
Episode = 14, Score = -192.62288645329306, Avg_Score = -208.46570683290605
Episode = 15, Score = -235.14083813052574, Avg_Score = -210.3710733541646
Episode = 16, Score = -233.87345318887407, Avg_Score = -211.93789867647857
Episode = 17, Score = -292.5359339594831, Avg_Score = -216.97527588166633
Episode = 20, Score = -216.43608037296704, Avg_Score = -216.94355849880165
Episode = 37, Score = 16.596595210041002, Avg_Score = -203.96910551497706
Episode = 38, Score = -109.34909255292555, Avg_Score = -198.98910483276381
Episode = 40, Score = 203.62160392417977, Avg_Score = -178.85856939491663
Episode = 41, Score = 45.406572098886556, Avg_Score = -168.17927694283077
Episode = 42, Score = 198.8190920546487, Avg_Score = -151.4975328974908
Episode = 43, Score = 214.9447851787333, Avg_Score = -135.56525819852456
Episode = 44, Score = 227.00295971433877, Avg_Score = -120.45824911882191
Episode = 45, Score = 284.96961117876907, Avg_Score = -104.24113470691827
Episode = 46, Score = 214.29225304605865, Avg_Score = -91.98985056257301
Episode = 47, Score = -256.7474701001072, Avg_Score = -98.09198461951871
Episode = 48, Score = 210.35786052527015, Avg_Score = -87.07591872149054
Episode = 49, Score = 14.652100759448544, Avg_Score = -83.5680559807685
Episode = 50, Score = 144.16665335134442, Avg_Score = -75.9768990030314
Episode = 51, Score = 235.882540456658, Avg_Score = -65.91691708497692
Episode = 52, Score = 130.02754172290292, Avg_Score = -59.79365274723067
Episode = 53, Score = 163.830351526973, Avg_Score = -53.01716776922449
Episode = 54, Score = 159.6266980418457, Avg_Score = -46.762936421840074
Episode = 55, Score = 194.97449919951197, Avg_Score = -39.8561525469443
Episode = 56, Score = -37.31834648460317, Avg_Score = -39.78565793410149
Episode = 57, Score = 187.58032327158674, Avg_Score = -33.640631415028835
Episode = 58, Score = 231.1447013816295, Avg_Score = -26.672596341432563
Episode = 59, Score = 191.29719159114822, Avg_Score = -21.083627420084337
Episode = 60, Score = 141.93812391854726, Avg_Score = -17.00808363661855
Episode = 61, Score = 201.66980485355788, Avg_Score = -11.674476600272785
Episode = 62, Score = -274.923571143202, Avg_Score = -17.942312184628243
Episode = 63, Score = -435.4479925836287, Avg_Score = -27.651746612511975
Episode = 64, Score = -148.73549449924386, Avg_Score = -30.403649973574066
Episode = 65, Score = 165.3166427914281, Avg_Score = -26.05431013435179
Episode = 66, Score = 175.77790710353608, Avg_Score = -21.66665323787597
Episode = 67, Score = -142.484025525692, Avg_Score = -24.237235626978435
Episode = 68, Score = 243.42655017509188, Avg_Score = -18.66090675610197
Episode = 69, Score = 209.22871988896122, Avg_Score = -14.010098049059863
Episode = 70, Score = 103.99793288869316, Avg_Score = -11.649937430304801
Episode = 71, Score = -144.0609370604566, Avg_Score = -14.246231540699934
Episode = 72, Score = 242.08954844047224, Avg_Score = -9.316697310292778
Episode = 73, Score = 216.59900882087297, Avg_Score = -5.054136817251914
Episode = 74, Score = -106.59241802999142, Avg_Score = -6.934475358228572
Episode = 75, Score = 44.27793434294978, Avg_Score = -6.003340636388966
Episode = 76, Score = -108.16034008451076, Avg_Score = -7.827572769391144
Episode = 77, Score = 235.09133355674564, Avg_Score = -3.5658375706869894
